esco_id,esco_label,esco_description,group_code,group_label_en,division_code,division_label_en,section_code,section_label_en,pad_occupations,pad_activities,pad_skills,pad_quotes,onet_job_zone,onet_job_zone_label,onet_job_zone_est
a7c1d23d-aeca-4bee-9a08-5993ed98b135,ICT system developer,"ICT system developers maintain, audit and improve organisational support systems. They use existing or new technologies to meet particular needs. They test both hardware and software system components, diagnose and resolve system faults.",621,62.1 Computer programming activities,62,"62 Computer programming, consultancy and related activities",K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","""information technology systems specialist""","""Support the digitalization of Électricité de Guinée commercial systems as part of Subcomponent 1.3.""","""billing system implementation"", ""database administration"", ""systems integration"", ""software deployment"", ""digitalization planning""","ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""Subcomponent 1.3 will help improve commercial performance and support digitalization of EDG (US$10 million IDA funding).""",4.0,4: Considerable Preparation Needed,unique
ac37627c-a999-4779-997e-9795cc4f9a3d,power distribution engineer,"Power distribution engineers design and operate facilities which distribute power from the distribution facility to the consumers. They research methods for the optimisation of power distribution, and ensure the consumers' needs are met. They also ensure compliance to safety regulations by monitoring the automated processes in plants and directing workflow.",351,"35.1 Electric power generation, transmission and distribution",35,"35 Electricity, gas, steam and air conditioning supply",D,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY","""engineer"", ""owners engineer""","""Engaged as an engineering consultant to support design and technical aspects of grid and infrastructure works."", ""Support Électricité de Guinée in design review, procurement, and supervision of distribution works.""","""electrical distribution design"", ""network planning and modelling"", ""technical drawings review"", ""construction supervision"", ""standards compliance"", ""design review"", ""procurement oversight"", ""construction supervision"", ""quality control"", ""technical specifications interpretation""","II. PROJECT DESCRIPTION: ""Specifically, it will cover costs for (i) recruiting fiduciary, engineering, and safeguard consultants; (ii) office equipment; (iii) transport equipment required for capacity development and supervision in the provinces; and (iv) specialized consultants, as needed."", IV. PROJECT APPRAISAL SUMMARY: ""The project includes technical assistance to update geospatial electrification planning and to support the development of detailed technical designs for both grid and mini-grid components. As under GNEAP-1, a dedicated Owner's Engineer will support EDG in the design review, procurement, and supervision of distribution works.""",4.0,4: Considerable Preparation Needed,unique
b915ab4a-f7b1-44bc-a5a4-585e91d31dfd,property acquisitions manager,Property acquisitions managers ensure land or property acquisitions transactions. They liaise with relevant stakeholders concerning financial aspects and risks arising from the acquisition of property. Property acquisitions managers ensure compliance with legal requirements for purchasing property and take care of all documentation and closure techniques needed.,683,68.3 Real estate activities on a fee or contract basis,68,68 Real estate activities,M,M REAL ESTATE ACTIVITIES,"""resettlement specialist""","""Manage compensations, land acquisition processes, and resettlement actions under the Resettlement Action Plan.""","""resettlement planning"", ""land valuation"", ""compensation administration"", ""stakeholder consultation"", ""RAP implementation monitoring""","II. PROJECT DESCRIPTION: ""The project infrastructure will lead to economic displacement and limited land acquisition. Efforts will be made to route the infrastructure to minimize physical displacement.""",4.0,4: Considerable Preparation Needed,minimum
bafbc672-0ad9-41af-9de8-db0c91a24f9b,billing clerk,"Billing clerks create credit memos, invoices and monthly customer statements and issue them to customers by all necessary means. They update customer files accordingly.",821,82.1 Office administrative and support activities,82,"82 Office administrative, office support and other business support activities",O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"""commercial officer"", ""revenue collection officer""","""Improve bill collections and manage revenue collection processes for the utility as part of deployment of prepayment meters and commercial reforms."", ""Perform administrative, financial, and commercial tasks related to implementation of new connections.""","""billing system operation"", ""revenue reconciliation"", ""customer engagement"", ""debt recovery practices"", ""cash handling"", ""customer billing"", ""revenue collection"", ""commercial contract management"", ""customer registration"", ""data reconciliation""","I. STRATEGIC CONTEXT: ""Reforms include strengthening utility corporate governance through a performance management contract with clear key performance indicators (KPIs), scaling up the deployment of prepayment meters, improving collections, and strengthening transparency and managerial accountability."", III. PROJECT IMPLEMENTATION: ""The commercial  unit  of  EDG  will  be  involved  in  administrative,  financial,  and commercial activities related to the implementation of new connections.""",2.0,2: Some Preparation Needed,minimum
bd9d395a-d587-45c6-8d72-ceef226df9e1,ICT system integration consultant,ICT system integration consultants advise on bringing together different systems to interoperate within an organisation for enabling data sharing and reducing redundancy.,622,62.2 Computer consultancy and computer facilities management activities,62,"62 Computer programming, consultancy and related activities",K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","""it systems specialist""","""Support procurement, deployment, and configuration of an integrated management system for commercial operations (billing, asset management, outages).""","""systems implementation"", ""billing system integration"", ""asset management software"", ""software configuration"", ""vendor coordination""","II. PROJECT DESCRIPTION: ""This activity will include: (i) procuring and deploying an Integrated Management System (IMS) with critical modules for billing, asset management, and management of outages (including climate-related ones), as well as integrated monitoring tools to track electricity consumption and improve billing performance; (ii) continuing the Revenue Protection Program (RPP) initiated under the Power Sector Recovery Project (P146696) by identifying new large LV customers and installing additional smart meters for large LV consumers and concentrators in substations; (iii) deploying  an  advanced metering  system  for MV  industrial  customers  and  public  institutions;  (iv)  additional capacity-building programs to train EDG staff on managing the IMS and managing digital tools; (v) technical assistance to develop data analytics tools for real-time monitoring and reporting; (vi) public awareness campaigns to promote acceptance of smart metering; and (vii) payment of performance-based bonuses to encourage EDG management to implement the performance contract 36 .""",3.0,3: Medium Preparation Needed,unique
bea99fea-0383-4c63-b944-70d4799de2c5,project manager,"Project managers oversee the project on a daily basis and are responsible for delivering high-quality results within the identified objectives and constraints, ensuring the effective use of the allocated resources. They are responsible for risk and issue management, project communication and stakeholder management. Project managers perform the activities of planning, organising, securing, monitoring and managing the resources and work necessary to deliver specific project goals and objectives in an effective and efficient way.",702,70.2 Business and other management consultancy activities,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""project coordinator"", ""project manager""","""To be competitively recruited to manage and coordinate the Project Implementation Unit."", ""Oversee project implementation activities and coordinate procurement, contracting, and reporting for Component 4 implementation.""","""project management"", ""stakeholder coordination"", ""donor reporting"", ""procurement process understanding"", ""team leadership"", ""project coordination"", ""contract management"", ""stakeholder engagement"", ""scheduling and planning"", ""reporting and compliance""","III. PROJECT IMPLEMENTATION: ""PIU coordinator: The current GNEAP-1 is managed by an interim coordinator. A coordinator will therefore have to be recruited competitively."", ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""Under Component 4, there are costs related to project implementation, hiring of an owner's engineer, and compensation and payments under a RAP (US$17 million).""",4.0,4: Considerable Preparation Needed,minimum
c0489e22-6a1b-4e52-974a-eb71bbb42134,public relations officer,Public relations officers represent a company or organisation to stakeholders and the public. They use communications strategies to promote an understanding of the activities and image of their clients in a favourable way.,733,73.3 Public relations and communication activities,73,"73 Activities of advertising, market research and public relations",N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""communications officer""","""Prepare progress and completion reports and support project communications and outreach.""","""stakeholder communications"", ""report writing"", ""public outreach"", ""media relations"", ""information dissemination""","III. PROJECT IMPLEMENTATION: ""Progress  reports  will  be  prepared  for  at  least  each  semester  during  project  implementation  and  will  be submitted to the World Bank no later than 30 days after the end of the period covered by the reports.""",4.0,4: Considerable Preparation Needed,minimum
c6bd511a-d966-4df9-a48e-4f800354f268,operations manager,"Operations managers plan, oversee and coordinate the daily operations of production of goods and provision of services. They also formulate and implement company policies and plan the use of human resources and materials.",701,70.1 Activities of head offices,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""commercial operations specialist""","""Support improvement of Électricité de Guinée commercial performance through activities under Subcomponent 1.3.""","""billing and collection strategies"", ""customer regularization"", ""commercial performance monitoring"", ""revenue management"", ""data analysis for collections""","ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""Subcomponent 1.3 will help improve commercial performance and support digitalization of EDG (US$10 million IDA funding). The activities under Subcomponent 1.3 will help kickstart the improvement in EDG's commercial performance.""",4.0,4: Considerable Preparation Needed,unique
c9b2b0a7-0adc-4ca7-bf7c-dc95e18aeac7,procurement support officer,"Procurement support officers assist the staff of the procurement team throughout the procurement processes, making sure all procurement documents are compliant with procedural, technical and legal requirements, and that meetings and other contacts are well organised.",821,82.1 Office administrative and support activities,82,"82 Office administrative, office support and other business support activities",O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"""transaction advisor""","""Support tender preparation by validating eligibility and selection criteria for private operators participating in competitive tenders.""","""transaction structuring"", ""tender preparation"", ""financial modeling"", ""private sector engagement""","V. KEY RISKS: ""Eligibility and selection criteria for operators to be used as part of the competitive tender will be further validated as part of tender preparation, with the support of transaction advisors.""",2.0,2: Some Preparation Needed,minimum
caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8,policy officer,"Policy officers research, analyse and develop policies in various public sectors, and shape and implement these policies to improve the existing regulation around the sector. They evaluate effects of existing policies and report findings to the government and members of the public. Policy officers work closely with partners, external organisations or other stakeholders and provide them with regular updates.",841,"84.1 Administration of the State and the economic, social and environmental policies of the community",84,84 Public administration and defence; compulsory social security,P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,"""policy advisor""","""Support reform actions under Component 3.3 to improve financial sustainability of the electricity sector through policy design and reform implementation support.""","""policy reform design"", ""regulatory analysis"", ""stakeholder consultation"", ""institutional capacity building"", ""policy drafting""","ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""Activities under Component 3.3 (US$9 million) will  support  reform  actions  that  pave  the  way  to  improved  financial  sustainability  of  the electricity  sector.""",4.0,4: Considerable Preparation Needed,minimum
cb4f98c8-6b8d-41d8-87eb-a2a2033a3a25,public procurement specialist,Public procurement specialists are full-time public procurement practitioners working as part of a procurement team in a large organisation or central purchasing body in all phases of the procurement cycle. They translate needs into contracts and deliver value for money for the organisation and the public.,702,70.2 Business and other management consultancy activities,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""procurement specialist""","""Handle procurement activities for all project components in accordance with World Bank procedures."", ""Manage procurement processes including bidding, contract execution, and compliance with World Bank procurement procedures.""","""public procurement procedures"", ""tender preparation"", ""contract management"", ""procurement compliance"", ""vendor evaluation"", ""procurement planning"", ""tender preparation"", ""bid evaluation"", ""contract management"", ""World Bank procurement compliance""","III. PROJECT IMPLEMENTATION: ""Procurement and FM for all project components will be handled by the PIU, in accordance with World Bank procedures."", IV. PROJECT APPRAISAL SUMMARY: ""Under GNEAP-2, the procurement function will be further strengthened through: (i) continued staffing of experienced procurement specialists; (ii) targeted training on the World Bank's procurement procedures; and (iii) enhanced support from the World Bank's procurement team, especially during bidding and contract execution phases.""",2.0,2: Some Preparation Needed,unique
d3e32e5e-7f24-48e3-b939-e4f800eb62fb,human resources officer,"Human resources officers develop and implement strategies that help their employers select and retain appropriately qualified staff within that business sector. They recruit staff, prepare job advertisements, interview and short-list people, negotiate with employment agencies, and set up working conditions. Human resources officers also administer the payroll, review salaries and advise on remuneration benefits and employment law. They arrange for training opportunities to enhance employees' performance.",702,70.2 Business and other management consultancy activities,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""human resources officer""","""Manage recruitment, retention, and promotion initiatives and implement coaching and mentorship programs to increase women's participation in technical roles at Électricité de Guinée and the Guinean Agency for Rural Electrification.""","""recruitment management"", ""diversity hiring"", ""career development planning"", ""mentorship program management"", ""data tracking and reporting""","ANNEX 4: CLIMATE RISKS 46: ""Specifically,  the  project  will  support:  (i)  the  creation  of  pathways  from  education  to  employment  in  technical  roles, including internship programs for women in STEM fields, such as the partnership launched in 2024 between EDG and Gamal  University;  (ii)  recruitment,  retention,  and  promotion  of  women  through  coaching  and  mentorship  programs focused on career progression; and (iii) the development and implementation of an institutional gender policy within EDG and  AGER  to  foster  inclusive  work  environments.""",3.0,3: Medium Preparation Needed,minimum
d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,data analyst,"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. They might prepare reports in the form of visualisations such as graphs, charts, and dashboards.",621,62.1 Computer programming activities,62,"62 Computer programming, consultancy and related activities",K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","""data analyst""","""Provide technical assistance to develop data analytics tools for real-time monitoring and reporting of electricity consumption and operations."", ""Provide technical assistance to develop data analytics tools for real-time monitoring and reporting of utility performance and metering data.""","""data analytics development"", ""dashboard and visualization"", ""time-series analysis"", ""database query and management"", ""automated reporting"", ""data analytics development"", ""real-time monitoring"", ""utility data integration"", ""dashboard design""","II. PROJECT DESCRIPTION: ""This activity will include: (i) procuring and deploying an Integrated Management System (IMS) with critical modules for billing, asset management, and management of outages (including climate-related ones), as well as integrated monitoring tools to track electricity consumption and improve billing performance; (ii) continuing the Revenue Protection Program (RPP) initiated under the Power Sector Recovery Project (P146696) by identifying new large LV customers and installing additional smart meters for large LV consumers and concentrators in substations; (iii) deploying  an  advanced metering  system  for MV  industrial  customers  and  public  institutions;  (iv)  additional capacity-building programs to train EDG staff on managing the IMS and managing digital tools; (v) technical assistance to develop data analytics tools for real-time monitoring and reporting; (vi) public awareness campaigns to promote acceptance of smart metering; and (vii) payment of performance-based bonuses to encourage EDG management to implement the performance contract 36 ."", V. KEY RISKS: ""Eligible expenditures include: (i) procuring and deploying an integrated management system for electricity consumption tracking and improved billing performance; (ii) identifying new large low voltage customers and installing smart meters for large low voltage consumers and concentrators in substations; (iii) deploying an advanced metering system for medium voltage industrial customers and public institutions; (iv) implementing capacity-building programs for EDG staff; (v) technical assistance to developp data analytics tools for real-time monitoring and reporting; (vi) carrying out public awareness campaigns to promote acceptance of smart metering; and (vii) payment of performance- based incentives to encorurage EDG managment to implement the performance contract (Subcomponent 1.3).""",4.0,4: Considerable Preparation Needed,minimum
d6ef013f-57e9-4100-bbe5-3e4930664dee,social services policy officer,"Social services policy officers research, analyse and develop social services policies and implement these policies and services to improve circumstances of disadvantaged and vulnerable members of society such as children and elderly people. They work in the administration of social services and stay in contact with organisations and other stakeholders and provide them with regular updates.",841,"84.1 Administration of the State and the economic, social and environmental policies of the community",84,84 Public administration and defence; compulsory social security,P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,"""social protection specialist""","""Design and implement a targeted subsidy mechanism for vulnerable customers to ensure affordability during tariff reforms.""","""targeted subsidy design"", ""social impact analysis"", ""beneficiary targeting"", ""monitoring and evaluation"", ""stakeholder engagement""","I. STRATEGIC CONTEXT: ""Increasing end-user tariffs in a phased manner is critical to ensure that EDG can recover its costs and reduce reliance on state subsidies. This process must be accompanied by the design and implementation of a targeted subsidy mechanism for vulnerable customers and ensure affordability for low-income households.""",4.0,4: Considerable Preparation Needed,llm
d7d986e1-7333-431b-9719-0c5c6939e360,civil engineer,"Civil engineers design, plan, and develop technical and engineering specifications for infrastructure and construction projects. They apply engineering knowledge in a vast array of projects, from the construction of infrastructure for transportation, housing projects, and luxury buildings, to the construction of natural sites. They design plans that seek to optimise materials and integrate specifications and resource allocation within the time constraints.",422,42.2 Construction of utility projects,42,42 Civil engineering,F,F CONSTRUCTION,"""civil engineer""","""Design flood-resistant pylons and strong foundations to protect project infrastructure.""","""structural analysis"", ""flood resilient design"", ""foundation design"", ""geotechnical assessment"", ""construction supervision""","ANNEX 4: CLIMATE RISKS 46: ""To  enhance  the  resilience  of  the  project  against  climate  threats,  and  mainly  floods  and  landslides,  several measures will be taken. These will include the use of flood-resistant pylons and strong foundations, which will protect the infrastructure of the project.""",4.0,4: Considerable Preparation Needed,minimum
dc97adbe-f807-4ad8-8f3c-c24b3416cdef,digital marketing manager,"Digital marketing managers are responsible for the elaboration of the company's digital marketing strategy with the goal of improving brand recognition and brand awareness, in line with the company's mission and vision. They oversee the execution of digital marketing and communication strategies involving the use of social media, email marketing, marketing automation, search engine optimisation, online events and online advertisement through data driven methodologies and by measuring and monitoring digital marketing KPIs in order to promptly implement corrective action plan. They manage and interpret competitors and consumers' data and conduct research on market conditions.",701,70.1 Activities of head offices,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""communications specialist""","""Design and execute public awareness campaigns to promote acceptance of smart metering among customers and institutions.""","""campaign design"", ""stakeholder engagement"", ""message development"", ""community outreach""","V. KEY RISKS: ""Eligible expenditures include: (i) procuring and deploying an integrated management system for electricity consumption tracking and improved billing performance; (ii) identifying new large low voltage customers and installing smart meters for large low voltage consumers and concentrators in substations; (iii) deploying an advanced metering system for medium voltage industrial customers and public institutions; (iv) implementing capacity-building programs for EDG staff; (v) technical assistance to developp data analytics tools for real-time monitoring and reporting; (vi) carrying out public awareness campaigns to promote acceptance of smart metering; and (vii) payment of performance- based incentives to encorurage EDG managment to implement the performance contract (Subcomponent 1.3).""",4.0,4: Considerable Preparation Needed,minimum
de74eb4e-c95e-425a-9b3a-7be805ec0321,energy consultant,Energy consultants advise clients on the advantages and disadvantages of different energy sources. They help clients to understand energy tariffs and try to reduce their energy consumption and carbon footprint by using energy efficient products and methods.,711,71.1 Architectural and engineering activities and related technical consultancy,71,71 Architectural and engineering activities; technical testing and analysis,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""tariff analyst"", ""transaction advisor""","""Design and implement a phased path to cost-reflective tariffs to enable Électricité de Guinée to recover costs and reduce reliance on subsidies."", ""Support mini-grid public-private partnership structuring and ensure compliance with technical, environmental, and social requirements.""","""tariff modeling"", ""energy sector economics"", ""cost of service analysis"", ""policy design"", ""stakeholder consultation"", ""public-private partnership structuring"", ""contract negotiation"", ""technical due diligence"", ""environmental compliance"", ""social safeguards assessment""","I. STRATEGIC CONTEXT: ""Increasing end-user tariffs in a phased manner is critical to ensure that EDG can recover its costs and reduce reliance on state subsidies. This process must be accompanied by the design and implementation of a targeted subsidy mechanism for vulnerable customers and ensure affordability for low-income households."", IV. PROJECT APPRAISAL SUMMARY: ""This will ensure quality control, alignment with design standards, and timely implementation. The mini-grid component will be supported by transaction advisors to ensure sound PPP structuring and compliance with technical, environmental, and social requirements.""",3.0,3: Medium Preparation Needed,minimum
eda0d957-3c3c-4139-b89a-a18bc9e18897,accountant,"Accountants review and analyse financial statements, budgets, financial reports, and business plans in order to check for irregularities resulting from error or fraud, and provide their clients with financial advice in matters such as financial forecasting and risk analysis. They may audit financial data, resolve insolvency cases, prepare tax returns and provide other tax-related advice in reference to current legislation.",692,"69.2 Accounting, bookkeeping and auditing activities; tax consultancy",69,69 Legal and accounting activities,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""accountant""","""Manage project accounting, prepare interim financial reports, and operate the project accounting system.""","""bookkeeping"", ""financial reporting"", ""accounting software use"", ""reconciliation"", ""budget monitoring""","IV. PROJECT APPRAISAL SUMMARY: ""The PIU is familiar with World Bank FM procedures and requirements as it has been supporting World Bank financed projects since 2014. Adequate FM arrangements are in place and operational. The project has adequate staffing (an FM specialist and an accountant) and internal control tools: manual of procedures including FM procedures, accounting software, Annual Work Plan and Budget (AWPB), internal auditor.""",3.0,3: Medium Preparation Needed,minimum
fddb7bd8-f176-4dc8-9d12-32b6072452c9,electric meter technician,Electric meter technicians install and maintain electric meter systems in facilities or buildings. They install the equipment in accordance with regulations and repair faults and other problems. They test the equipment and advise on the use and care.,432,"43.2 Electrical, plumbing and other construction installation activities",43,43 Specialised construction activities,F,F CONSTRUCTION,"""meter installer"", ""meter technician"", ""metering technician""","""Install and commission prepayment electricity meters as part of scaling up meter deployment for the utility."", ""Install and commission pre-paid meters in non-strategic public institutions following the approved installation schedule."", ""Supply and install smart meters and pre-paid meters as part of last-mile connection works and meter rollout in public institutions."", ""Roll-out and installation of pre-paid meters across customer segments to improve billing and collection rates and regularize illegal connections.""","""meter installation"", ""electrical testing and commissioning"", ""meter configuration"", ""customer service"", ""safety and wiring practices"", ""meter installation and testing"", ""low-voltage wiring"", ""meter configuration and commissioning"", ""safety and electrical testing"", ""field troubleshooting"", ""meter installation"", ""electrical safety practices"", ""meter configuration"", ""customer account linking"", ""meter installation"", ""meter testing and commissioning"", ""smart meter configuration"", ""electrical safety practices"", ""customer interface""","I. STRATEGIC CONTEXT: ""Reforms include strengthening utility corporate governance through a performance management contract with clear key performance indicators (KPIs), scaling up the deployment of prepayment meters, improving collections, and strengthening transparency and managerial accountability."", II. PROJECT DESCRIPTION: ""EDG will procure and install pre-paid meters for non-strategic public institutions across the country, based on a pre-approved list of institutions and a detailed installation schedule."", V. KEY RISKS: ""Disbursement will be contingent on confirmation to the World Bank that the amount to be disbursed corresponds to eligible expenditures incurred. Eligible expenditures include: extending and densifying the grid access in Kindia and building a MV line for Kindia-Donkea, by providing supply and installation of last-mile connection equipment, including smart meters and pre-paid meters (Subcomponent 1.1.1)."", ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""Key reforms to bring the financial position of EDG back to a sustainable level include: (i) tariff reform with a clear path to bring tariffs to cost reflective level in order to decrease the required level of subsidies; (ii) improve EDG's billi ng and collection rates through the roll-out of pre-paid meters for all customer segments and the regularization of illegal connections; (iii) further reduction of the cost of supply by revising existing PPA contracts and expanding the generation""",2.0,2: Some Preparation Needed,minimum
fdfce14e-992d-4ff4-9f9d-7a353c75654e,corporate lawyer,"Corporate lawyers provide legal consulting services and representation to corporations and organisations. They give advice on matters relating to taxes, legal rights and patents, international trade, trademarks, and legal financial issues arising from operating a business.",691,69.1 Legal activities,69,69 Legal and accounting activities,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""legal counsel""","""Renegotiate high-cost power purchase agreements including restructuring payment terms and arranging lower-cost refinancing to reduce generation costs and arrears.""","""contract law"", ""power sector contracting"", ""negotiation skills"", ""financial restructuring"", ""stakeholder negotiation""","I. STRATEGIC CONTEXT: ""Renegotiating these agreements, including through the introduction of lower-cost refinancing or restructured payment terms, can stabilize sector finances, reduce arrears, and crowd in more competitively procured IPPs.""",5.0,5: Extensive Preparation Needed,unique
