project_id,esco_id,esco_label,esco_description,pad_occupations,pad_activities,pad_skills,pad_quotes,esco_uri
P075941,4b214899-ed00-4156-b269-a23df0fb1093,environmental protection manager,"Environmental protection managers provide advice on the development of environmental policies to governmental and official institutions. They analyse possible threats for the well being of the people and the environment in a region and manage campaigns aimed at tackling problems such as waste collection, landfills, and preservation of green areas.","""Environmental Safeguard Specialist"", ""Environmental and Social Safeguards Specialist"", ""Environmental and Social Safeguards Specialist (Panel member)"", ""Environmental Specialist"", ""Environmental and Social Management Specialist"", ""Environmental and Social Safeguards Specialist at the Rusumo Project Implementation Unit"", ""Environment and Social Specialist"", ""Financial Management Specialist"", ""Lead Environmental and Social Specialist"", ""Environmental and Social Professional (including site supervisors)""","""Be a member of the core implementation-support team."", ""Implement the Environmental and Social Management Plan and coordinate environmental and social mitigation measures."", ""Provide technical guidance on environmental and social safeguards to the Nile Equatorial Lakes Subsidiary Action Program Coordination Unit during project implementation."", ""Coordinate implementation of the Environmental and Social Management Plan (ESMP)."", ""Prepare and implement the Environment and Social Management Plan (ESMP)."", ""Establish an Environmental and Social Management Unit (ESMU) within the Rusumo Project Implementation Unit (RPIU) and ensure implementation of the Environment and Social Management Plan (ESMP), Resettlement Action Plan (RAP) and Local Area Development Plan (LADP)."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with environment and social specialists."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with a financial-management specialist."", ""Consulting services to be procured will include a Lead Environmental and Social Specialist to support project preparation and implementation."", ""The Environmental and Social Management Unit staffing will include multidisciplinary expertise in environmental assessment and management, social assessment and management, as well as health and safety; construction phase staffing will include 12 environmental and social professionals including site supervisors.""","""be part of the implementation-support team"", ""implement the Environmental and Social Management Plan"", ""coordinate environmental and social mitigation measures"", ""provide technical guidance on environmental and social safeguards"", ""support the NELSAP Coordination Unit during project implementation"", ""coordinate implementation of the Environmental and Social Management Plan (ESMP)"", ""prepare Environment and Social Management Plan (ESMP)"", ""implement Environment and Social Management Plan (ESMP)"", ""ensure Environment and Social Management Plan (ESMP) implementation"", ""implement Resettlement Action Plan (RAP)"", ""implement Local Area Development Plan (LADP)"", ""provide environmental and social specialist expertise"", ""support Unit oversight"", ""provide financial-management specialist expertise"", ""support Unit oversight"", ""provide lead environmental and social specialist services"", ""perform environmental assessment and management"", ""perform social assessment and management"", ""conduct health and safety tasks"", ""supervise site environmental and social activities""",": ""The core implementation-support team will consist of a task team leader (TTL), a power engineer, an environmental safeguard specialist, a social-safeguards specialist, a procurement specialist, and a financial-management specialist."", : ""This component will finance the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP) including cash compensation to approximately Six Hundred Sixty Four (664) project affected households and implementation of the associated Livelihood Restoration Program and the Local Area Development Plan (LADP)."", : ""Two independent panels -one for environmental and social safeguards and another for dam safety -are in place and have provided technical guidance to the NELSAP Coordination Unit during project preparation. This guidance will continue during project implementation."", : ""The RPIU will be supported by the Owner's Engineer and will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP)."", : ""In addition, the contractor will be required to prepare and implement a detailed environmental and social management plan (ESMP)."", : ""The overall responsibility for ESMP implementation will be with the RPIU which will establish an Environmental and Social Management Unit (ESMU) reporting to the RPIU Manager and ensuring ESMP implementation as well as implementation of RAP and LADP."", : ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff."", : ""These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant."", : ""ESMU staffing will be flexible but will include multidisciplinary expertise in environmental assessment and management, social assessment and management, as well as health and safety. The construction phase staffing will include 12 environmental and social professionals including site supervisors, plus additional specialists a needed.""",http://data.europa.eu/esco/occupation/4b214899-ed00-4156-b269-a23df0fb1093
P075941,4cdfac8c-b000-4279-985e-31bc1fbe2447,underground miner,"Underground miners perform a wide range of ancillary underground mining operations such as inspections, conveyor attendance and the transport of equipment and consumable materials from the surface to the point of extraction underground.","""Tunnel Excavation Specialist""","""excavate the headrace tunnel by top heading followed by benching through sound-to-slightly-weathered quartzophyllite""","""excavate headrace tunnel by top heading followed by benching""",": ""The headrace tunnel will be of an ""inverted D shape"" to allow  excavation of  the  sound-to-slightly-weathered quartzophyllites by top heading  followed by benching.""",http://data.europa.eu/esco/occupation/4cdfac8c-b000-4279-985e-31bc1fbe2447
P075941,4f49df98-98b8-4a9e-98ad-9c5557817eba,strategic planning manager,"Strategic planning managers create, together with a team of managers, the strategic plans of the company as a whole, and provide coordination in the implementation per department. They help to interpret the overall plan and create a detailed plan for each one of the departments and branches. They ensure consistency in the implementation.","""Power Sector Planner""","""Government of Tanzania is preparing an update of the 2009 Power Sector Master Plan which is expected to be finalized in 2013.""","""preparing update of Power Sector Master Plan"", ""finalizing Power Sector Master Plan""",": ""The GoT is currently preparing an update of the 2009 PSMP, which is expected to be finalized in 2013.""",http://data.europa.eu/esco/occupation/4f49df98-98b8-4a9e-98ad-9c5557817eba
P075941,55167849-82cf-484e-b818-fa702a4e69e9,hydrologist,"Hydrologists research and study the quality, current challenges, and distribution of water in the Earth. They study water supply from rivers, streams, and springs to determine their adequate and sustainable use. Together with a cross functional team of professionals, they plan and develop how water can be supplied to cities and urban areas while ensuring efficiency and resource conservation.","""Hydrologist (Water Resources Specialist)""","""The Rusumo Water Resources Management Plan will include river-flow management activities such as monitoring water release patterns, water quality and quantity, environmental flow requirements, and management of floods and low water flows.""","""monitor water release patterns"", ""monitor water quality and quantity"", ""manage environmental flow requirements and flood/low flow events""",": ""The RWRMP will focus on ensuring adequate, safe, water-resource system operations, including: regular dam inspections; the development of downstreamdischarge warning procedures; and the monitoring of dam safety through the analysis of instrument records and reports on the behavior of the dam structure, river-flow management (monitoring water release patterns, water quality and quantity, environmental flow requirements), water rights, and management of floods and low water flows.""",http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9
P075941,579254cf-6d69-4889-9000-9c79dc568644,mechanical engineer,"Mechanical engineers research, plan and design mechanical products and systems and supervise the fabrication, operation, application, installation and repair of systems and products. They research and analyse data.","""Hydroelectric Plant Mechanical Engineer"", ""Senior Mechanical Engineer"", ""Senior Project Mechanical Engineer"", ""Dam Safety Monitoring Specialist"", ""Mechanical Engineer (consultant)""","""Implement the Power Plant Complex (Component A)."", ""Provide senior mechanical engineering support to the set-up operations of the Rusumo Power Company Limited and the NELSAP Rusumo Project Implementation Unit."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with senior project engineers (mechanical)."", ""The Rusumo Water Resources Management Plan will focus on monitoring dam safety through the analysis of instrument records and reports on the behavior of the dam structure and related tasks including regular dam inspections and development of downstream discharge warning procedures."", ""Consulting services to be procured will include a Mechanical Engineer to support hydro-mechanical equipment and related works.""","""implement the Power Plant Complex"", ""support the set-up operations of the Rusumo Power Company Limited"", ""support the set-up operations of the NELSAP Rusumo Project Implementation Unit"", ""provide senior project engineering (mechanical) expertise"", ""support Unit oversight"", ""conduct regular dam inspections"", ""analyze instrument records and dam behavior reports"", ""develop downstream discharge warning procedures"", ""provide mechanical engineering design and oversight""",": ""The Project includes the Power Plant Complex (Component A) and the associated Transmission lines (Component B)."", : ""This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited (RPCL) and NELSAP Rusumo Project Implementation Unit (RPIU) including a project manager, senior engineers (civil, electrical and mechanical), a quantity surveyor, a safeguards team, a procurement specialist, a financial management specialist, accounts and logistics assistant, a communications specialist and other technical staff."", : ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff."", : ""The RWRMP will focus on ensuring adequate, safe, water-resource system operations, including: regular dam inspections; the development of downstreamdischarge warning procedures; and the monitoring of dam safety through the analysis of instrument records and reports on the behavior of the dam structure, river-flow management (monitoring water release patterns, water quality and quantity, environmental flow requirements), water rights, and management of floods and low water flows."", : ""These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.""",http://data.europa.eu/esco/occupation/579254cf-6d69-4889-9000-9c79dc568644
P075941,57e87533-e523-4ee5-bf21-94a39fcc279b,health safety and environmental manager,"Health, safety and environmental managers design and execute corporate policies and procedures related to occupational health and safety and environmental protection. They analyse business processes to ensure compliance with government and environment legislation, conduct risk assessment in the domain of occupational health and safety, evaluate the environmental impact of economic activities and design the appropriate measures for the improvement of work environments and cultures. They coordinate the implementation of an integrated health, safety and environmental management system, defining effective indicators, organizing audits and eventually participating in accident investigation and reporting. They promote an integrated approach to sustainability and occupational health within business organisations, liaising with corporate and line managers and training employees. They are responsible for drafting technical documentation related to the compliance with health and safety and environmental legislation.","""Environmental and Social Safeguards Auditor""","""Conduct regular third party technical audits of safeguards measures to ensure compliance with safeguard policies.""","""conduct third party technical audits of safeguards measures"", ""ensure compliance with safeguard policies""",": ""A regular third party technical audit of safeguards measures will also ensure compliance with safeguard policies.""",http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b
P075941,58db3ac6-5217-4d46-8a4c-126598be1d13,electric power generation engineer,"Electric power generation engineers design and develop systems which generate electrical power, and develop strategies for the improvement of existing electricity generation systems. They strive to conciliate sustainable solutions with efficient and affordable solutions. They engage in projects where supply of electrical energy is required.","""Power Generation Project Developer"", ""Power Engineer"", ""Power Systems Planning Engineer"", ""Senior Electrical Engineer"", ""Design Engineer""","""Jointly develop low-cost power generation"", ""Be a member of the core implementation-support team."", ""Support national utilities to reduce generation capacity shortages and to alleviate or eliminate reliance on expensive thermal generation."", ""Provide senior electrical engineering support to the set-up operations of the Rusumo Power Company Limited and the NELSAP Rusumo Project Implementation Unit."", ""Supervise design of the power plant complex and transmission lines.""","""develop low-cost power generation"", ""be part of the implementation-support team"", ""reduce generation capacity shortages"", ""alleviate or eliminate reliance on expensive thermal generation"", ""support national utilities"", ""support the set-up operations of the Rusumo Power Company Limited"", ""support the set-up operations of the NELSAP Rusumo Project Implementation Unit"", ""supervision of design""",": ""In the context of the NBI and the Nile Equatorial Lakes Subsidiary Action Program (NELSAP), the riparian countries have agreed to jointly develop low-cost power generation and regional system interconnections in order to improve productivity and promote economic growth."", : ""The core implementation-support team will consist of a task team leader (TTL), a power engineer, an environmental safeguard specialist, a social-safeguards specialist, a procurement specialist, and a financial-management specialist."", : ""The project will also support the national utilities of the three countries to reduce the generation capacity shortages and ease financial imbalances by alleviating or eliminating reliance on expensive thermal generation."", : ""This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited (RPCL) and NELSAP Rusumo Project Implementation Unit (RPIU) including a project manager, senior engineers (civil, electrical and mechanical), a quantity surveyor, a safeguards team, a procurement specialist, a financial management specialist, accounts and logistics assistant, a communications specialist and other technical staff."", : ""The RPIU will be supported by the Owner's Engineer and will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP).""",http://data.europa.eu/esco/occupation/58db3ac6-5217-4d46-8a4c-126598be1d13
P075941,59883630-45f9-40e7-9732-9e5ff9758d2b,environmental programme coordinator,Environmental programme coordinators develop programmes for the improvement of environmental sustainability and efficiency within a organisation or institution. They inspect sites in order to monitor an organisation's or institution's compliance with environmental legislation. They also ensure education for the public on environmental concerns.,"""Environmental and Social Management Consultant"", ""Independent Environmental Auditor"", ""Environmental Management Officer""","""A separate consultancy will be responsible for the management and supervision of the implementation of the Environmental and Social Management Plan and the Resettlement Action Plan, supervised by the Safeguards Unit at the Rusumo Project Implementation Unit."", ""The Rusumo Power Company Limited shall cause an environmental audit to be undertaken by a qualified independent entity in accordance with the environmental regulations of Rwanda and Tanzania."", ""Consulting services to be procured will include an Environmental Management Officer to support environmental management tasks.""","""manage implementation of Environmental and Social Management Plan"", ""supervise implementation of Resettlement Action Plan"", ""conduct environmental audit in accordance with national regulations"", ""implement environmental management tasks""",": ""There will be a separate consultancy responsible for the management and supervision of the implementation of the ESMP and the Resettlement Action Plan (RAP) and supervised by the Safeguards Unit at the RPIU."", : ""In addition, RPCL shall cause an environmental audit to be undertaken by a qualified independent entity in accordance with the environmental regulations of Rwanda and Tanzania."", : ""These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.""",http://data.europa.eu/esco/occupation/59883630-45f9-40e7-9732-9e5ff9758d2b
P075941,5ccb2c34-e860-43a5-9869-342487518115,project support officer,"Project support officers provide different types of services for the successful execution of a project as part of a horizontal project management office. They offer administrative support, assistance and training to project managers and other staff members, manage the project’s documentation and assist the project manager with project scheduling, resource planning, coordination and reporting. Project support officers are responsible for quality assurance activities and for monitoring the adherence to methodology guidelines and other organisational standards. They also offer advice on project management tools and related administrative services.","""Financial Management Specialist (provided by Nile Equatorial Lakes Subsidiary Action Program - Coordination Unit)""","""The Nile Equatorial Lakes Subsidiary Action Program - Coordination Unit will provide fiduciary support to the Rusumo Project Implementation Unit in financial management and procurement.""","""provide fiduciary support in financial management"", ""provide fiduciary support in procurement""",": ""The NELSAP-CU will provide fiduciary support to the RPIU in financial management and procurement.""",http://data.europa.eu/esco/occupation/5ccb2c34-e860-43a5-9869-342487518115
P075941,5e4d156a-1f05-4b2c-b0f0-5abb82d52ed6,bank account manager,"Bank account managers advise prospective clients on the type of banking accounts suitable for their needs. They work with clients to set up the bank account and remain their primary point of contact in the bank, assisting with all necessary documentation. Bank account managers may recommend their clients to contact other departments in the bank for other specific needs.","""Escrow agent / bank custodian""","""Operate and supervise a bank escrow account holding banker's guarantees or security deposits equivalent to six months of capacity charges, under supervision of an independent third party.""","""operate a bank escrow account for capacity charge guarantees"", ""manage banker's guarantees or security deposits""",": ""Therefore it is recommended that each of the three utilities provide RPCL with a banker's guarantee or a security deposit in a bank escrow account equivalent to six months of capacity charges. The value of the guarantee/deposit will be reviewed annually to account for any expected variations in the capacity charges during the subsequent year. The escrow account would be operated under the supervision of an independent third party.""",http://data.europa.eu/esco/occupation/5e4d156a-1f05-4b2c-b0f0-5abb82d52ed6
P075941,5e5b1b61-1351-4d3b-a293-deb3661715dd,financial controller,"Financial controllers handle all tasks related to the budgeting and accounting aspects of a company or organisation. They implement and ensure compliance with internal financial and accounting procedures, and prepare documentation for external audits. They collect information related to financial statements such as assets, liabilities, equity, and cash flow in order to assess the company's financial position to prepare annual budgets and forecasts.","""Project Financial Management Specialist"", ""Financial Management Specialist""","""Manage financing related to Component A: Power Plant Complex (component financed by the Bank)."", ""Be a member of the core implementation-support team."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with a financial-management specialist.""","""manage financing for the Power Plant Complex"", ""implement financing for the component financed by the Bank"", ""be part of the implementation-support team"", ""provide financial-management specialist expertise"", ""support Unit oversight""",": ""The word ""Project"" in the PAD, where applicable, should also be interpreted to refer to the component financed by the Bank which is component A: ""Power Plant Complex""."", : ""The core implementation-support team will consist of a task team leader (TTL), a power engineer, an environmental safeguard specialist, a social-safeguards specialist, a procurement specialist, and a financial-management specialist."", : ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.""",http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
P075941,691ec040-f5ad-47ef-8698-03212d66dbbf,structural ironworker,"Structural ironworker in construction install iron elements into structures. They erect steel frameworks for buildings, bridges and other construction projects. They set metal rods, or rebar, to form reinforced concrete.","""Tower Erection Contractor (Transmission Line)""","""Transmission line right-of-way will accommodate 1,041 steel lattice towers which will be erected on concrete foundations and require associated access roads and tracks to be built.""","""erect steel lattice towers on concrete foundations"", ""construct access roads and tracks for transmission lines""",": ""The T-lines' 30 meter wide right of way corridor will occupy an area of 1115.7 ha, on which 1,041 steel lattice towers will be erected (293 in Burundi, 334 in Rwanda, and 414 in Tanzania) with height of 37.5 -49.5 meters, on concrete foundations typically 2.5 x 2.5 meters (6.25 m 2  area). In  addition, access  roads  and tracks of  yet  to  be determined length will be  built for construction and  maintenance  of the  T-lines.""",http://data.europa.eu/esco/occupation/691ec040-f5ad-47ef-8698-03212d66dbbf
P075941,6fc8f605-98b9-4218-b5e2-91c4c9c55c4d,design engineer,Design engineers develop new conceptual and detailed designs. They create the look for these concepts or products and the systems used to make them. Design engineers work with engineers and marketers to enhance the functioning and efficiency of existing devices.,"""Design Engineer""","""Prepare final designs during the 12 months of final designs and related activities at project start-up.""","""prepare final designs""",": ""The project period will be about seven (7) years, from approval and will include: (i) 12 months of final designs, contractor selection, site acquisition and related activities, (ii) 45 months construction period and (iii) 24 months covering the initial defects liability period.""",http://data.europa.eu/esco/occupation/6fc8f605-98b9-4218-b5e2-91c4c9c55c4d
P075941,7052fd94-f563-46a9-8e2d-cba6c20f3e71,overhead line worker,Overhead line workers construct and maintain power supply and control cables in overhead power lines. They also make and repair electrical cables connecting customers to the electricity network.,"""High Voltage Transmission Line Engineer"", ""Electric Power Line Installer and Repairer"", ""Transmission Line Erection Technician"", ""Transmission Line Tower Erection Technician""","""Construction of 220 kilovolt transmission interconnections between Kenya, Uganda, Rwanda, Democratic Republic of Congo, Burundi and Tanzania under the Nile Equatorial Lakes Subsidiary Action Program."", ""Install and construct high-voltage transmission lines specified by the project."", ""Erect and install transmission line towers, conductors and associated hardware for the three lines."", ""Erect steel lattice towers along the transmission line right-of-way on concrete foundations.""","""constructing transmission interconnections"", ""constructing 220 kilovolt transmission lines"", ""install transmission lines"", ""construct transmission lines"", ""erect transmission line towers and install conductors"", ""perform transmission line installation works"", ""erect steel lattice towers on concrete foundations""",": ""The Kenya-Tanzania interconnector will allow the country to be linked to the future interconnection between Kenya and Ethiopia, and various interconnections between Kenya, Uganda, Rwanda, Burundi, and Eastern DRC which are expected to be constructed in 2014 under NELSAP program. The study identifies the proposed 220KV transmission interconnections between Kenya, Uganda, Rwanda, DRC, Burundi and Tanzania lines as critical to the region's power trade in the medium term."", : ""(c) The construction of transmission lines in the beneficiary countries as follows: 161 km in Burundi, 119 km in Rwanda and 98.20 km in Tanzania."", : ""This component will consist of construction of three transmission lines from Rusumo to: (i) Gitega, Burundi (161 km); (ii) Kigali, Rwanda (119 km); and (iii) Nyakanazi, Tanzania (98.2 km)."", : ""The T-lines' 30 meter  wide right of  way  corridor will  occupy an area  of 1115.7 ha,  on which 1,041 steel lattice towers  will be  erected (293 in  Burundi, 334 in  Rwanda, and  414 in  Tanzania) with  height 2 of 37.5 -49.5  meters, on  concrete foundations typically 2.5 x 2.5 meters (6.25 m  area).""",http://data.europa.eu/esco/occupation/7052fd94-f563-46a9-8e2d-cba6c20f3e71
P075941,72381086-cb6e-455e-a40b-ccb26550aab6,power production plant operator,"Power production plant operators maintain and operate the equipment in power stations and other energy production plants. They repair faults, operate machinery directly or from a control room, and handle materials related to electricity production in compliance with safety and environmental procedures. They facilitate interaction between electrical energy facilities, ensuring that distribution occurs safely.","""Power Plant Operator"", ""Operation and Maintenance Specialist"", ""Accounts and Logistics Assistant"", ""Operations and Maintenance Contractor"", ""Power Plant Operator (private operator)""","""Perform long-term plant operations as part of the project."", ""Prepare for operation and maintenance of the power plant complex and transmission lines."", ""The Rusumo Project Implementation Unit's oversight capability will be reinforced with an accounts-and-logistics assistant."", ""The Rusumo Power Company Limited shall procure through an International Competitive Bidding process the services of an operations and maintenance contractor prior to commissioning of the Power Plant."", ""The Power Plant operations, including obligations under the Power Purchase Agreements, will be contracted out to a competitively-selected private operator who will receive delegated authority to enforce the Power Purchase Agreement obligations and provide expertise to ensure safe and reliable dam operations.""","""work during plant operations"", ""be employed during plant operations"", ""preparation for operation and maintenance"", ""manage accounts and logistics"", ""support Unit oversight"", ""provide operations and maintenance services"", ""enforce Power Purchase Agreement obligations"", ""ensure safe and reliable dam operations""",": ""The project will directly benefit the population in the project area by providing employment opportunities both during the construction phase and during plant operations over the long term."", : ""The RPIU will be supported by the Owner's Engineer and will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP)."", : ""The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff."", : ""The Rusumo Power Company shall, not later than six months prior to the commissioning of the Power Plant, procure through an International Competitive Bidding process the services of an operations and maintenance contractor."", : ""The Power Plant operations will be contracted out to a competitively-selected private operator, and this operator will receive the delegated authority to enforce the PPA obligations. The operator will also provide the necessary expertise to ensure safe and reliable dam operations.""",http://data.europa.eu/esco/occupation/72381086-cb6e-455e-a40b-ccb26550aab6
P075941,76abbb82-c103-4d7a-a4c0-14dba4d6199a,commissioning engineer,"Commissioning engineers supervise the final stages of a project when systems are installed and tested. They inspect the correct functioning of the equipment, facilities and plants to make sure they meet the requirements and specifications. They perform the necessary verifications and give approval to finalise the project.","""Commissioning Engineer"", ""Control and Communications Engineer""","""Test and commission mechanical and electrical systems of the power plant complex."", ""Supply, install, test and commission power complex control and communications equipment.""","""test mechanical and electrical systems"", ""commission mechanical and electrical systems"", ""supply control and communications equipment"", ""install control and communications equipment"", ""test and commission control and communications equipment""",": ""This component will include supply, installation, testing and commissioning of: (i) hydro-mechanical equipment; (ii) turbine-generator sets and auxiliaries; (iii) generation substation; and (iv) power complex control and communications equipment.""",http://data.europa.eu/esco/occupation/76abbb82-c103-4d7a-a4c0-14dba4d6199a
P075941,77abfaec-a250-4765-95fa-6091e8da1bba,electromechanical engineer,"Electromechanical engineers design and develop equipment and machinery that use both electrical and mechanical technology. They make draughts and prepare documents detailing the material requisitions, the assembly process and other technical specifications. Electromechanical engineers also test and evaluate the prototypes. They oversee the manufacturing process.","""Electromechanical Engineer""","""Provide support to the implementation-support team as an electromechanical engineer.""","""provide support to the implementation-support team""",": ""This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&E) specialist.""",http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba
P075941,78db356f-a96a-4456-ab29-2de62e52f830,public finance accountant,"Public finance accountants head the treasury department of a governmental institution. They manage the institution's financial administration, expenditure and income generation, and compliance with taxation and other financial legislation. They perform administrative duties to ensure record keeping, develop plans for budget management and perform financial forecasts.","""Utility finance manager (Regie de Production et de Distribution d'eau et d'elelectricite; Energy, Water and Sanitation Authority; Tanzania Electric Supply Company Limited)"", ""Finance and Administration Manager"", ""Project Finance Officer""","""Deposit and maintain an amount equal to six months' capacity charges in an escrow account and provide one-third of the required amount six months prior to the Commercial Operation Date, with periodic replenishments thereafter."", ""Nile Equatorial Lakes Subsidiary Action Program - Coordination Unit has an accounting unit headed by the Finance and Administration Manager who will oversee the work of a finance officer under the Rusumo Project Implementation Unit."", ""A Project Finance Officer will be in charge of the daily maintenance of the project books of accounts and records and will report to the Manager of Finance and Administration.""","""deposit and maintain six months' capacity charges in escrow"", ""provide one-third of required escrow amount prior to Commercial Operation Date and replenish periodically"", ""oversee accounting unit"", ""supervise project finance officer"", ""daily maintenance of project books of accounts and records"", ""handle daily project financial transactions""",": ""- (a) The utilities under the Power Purchase Agreement shall each deposit and maintain an amount equal to six months' capacity charges, pursuant to the Power Purchase Agreement in an escrow account with a depository satisfactory to RPCL. Each of the Utilities hall provide one-third of the required amount six (6) months prior the Commercial Operations Date of the Project, and thereafter, provide periodic replenishments for the duration of Power Purchase Agreement;"", : ""NELSAP-CU has an accounting unit that is headed by the Finance and Administration Manager. This manager will be assisted by a Project Finance Officer who will be in charge of the daily maintenance of the project books of accounts and records."", : ""This manager will be assisted by a Project Finance Officer who will be in charge of the daily maintenance of the project books of accounts and records.""",http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830
P075941,7a0afb5e-f118-449a-82bd-d8b9230fd49f,tunnel boring machine operator,"Tunnel boring machine operators work on large pieces of tunnelling equipment commonly known as TBMs. They regulate the operation of the machine, adjusting the torque of the rotating cutting wheel and screw conveyor to maximise stability of the tunnel before tunnel rings are installed. Tunnel boring machine operators then put the reinforced concrete rings in place using remote controls.","""Tunneling Engineer""","""Carry out tunneling works for the power plant complex structures.""","""perform tunneling for the power plant complex structures""",": ""This component comprises all excavation/earth works, tunneling and concrete for the power plant complex structures, including a barrage and gated spillway, intake works and diversion/power canal, surface powerhouse, access roads and construction site facilities such as offices and housing.""",http://data.europa.eu/esco/occupation/7a0afb5e-f118-449a-82bd-d8b9230fd49f
